Time, FPS
8.02143, 800
8.02282, 800
8.02403, 800
8.02521, 800
8.02645, 800
8.02764, 800
8.02881, 800
8.03007, 799
8.03124, 799
8.03241, 799
8.03364, 799
8.03492, 799
8.03618, 799
8.03737, 799
8.03855, 799
8.03978, 799
8.04101, 799
8.04229, 799
8.0437, 799
8.04499, 799
8.04625, 799
8.04748, 798
8.04866, 798
8.05004, 798
8.05132, 798
8.0526, 798
8.05382, 798
8.05501, 798
8.0562, 798
8.05753, 798
8.05889, 798
8.0601, 798
8.06135, 798
8.06256, 798
8.06388, 798
8.06509, 798
8.06633, 798
8.06752, 798
8.06868, 798
8.06981, 798
8.07106, 798
8.07227, 798
8.07342, 798
8.07479, 798
8.07604, 798
8.07736, 798
8.07879, 798
8.08005, 798
8.08124, 798
8.08245, 799
8.08363, 799
8.0849, 799
8.08613, 799
8.0873, 799
8.08848, 799
8.08973, 799
8.09116, 799
8.09238, 799
8.09357, 799
8.09486, 799
8.09606, 799
8.09722, 799
8.09859, 799
8.09981, 799
8.10106, 799
8.1023, 799
8.10347, 799
8.10463, 799
8.10601, 799
8.10719, 799
8.10836, 799
8.10953, 799
8.11078, 799
8.11217, 799
8.11337, 799
8.11469, 799
8.11594, 799
8.11722, 796
8.11853, 796
8.12002, 796
8.12132, 796
8.12256, 796
8.12373, 796
8.12491, 796
8.12616, 796
8.12762, 796
8.12881, 796
8.13001, 796
8.13127, 796
8.13254, 796
8.13398, 798
8.13526, 798
8.1365, 798
8.13779, 798
8.13919, 798
8.1405, 798
8.14182, 798
8.1431, 798
8.14428, 798
8.1455, 798
8.14674, 798
8.14806, 798
8.1493, 798
8.1506, 798
8.15189, 800
8.15309, 800
8.15444, 800
8.15572, 800
8.15695, 800
8.15828, 800
8.15945, 800
8.16081, 800
8.16205, 800
8.16331, 800
8.16447, 800
8.16562, 800
8.16688, 800
8.16845, 800
8.16977, 797
8.1711, 797
8.17232, 797
8.17351, 797
8.17484, 797
8.17602, 797
8.17717, 797
8.17836, 797
8.17959, 797
8.18091, 797
8.18248, 797
8.1838, 797
8.18503, 797
8.18624, 797
8.18741, 799
8.1887, 799
8.19003, 799
8.19134, 799
8.19252, 799
8.19369, 799
8.19493, 799
8.19624, 799
8.19749, 799
8.19886, 799
8.2001, 799
8.20137, 799
8.20274, 799
8.20399, 799
8.20517, 804
8.20639, 804
8.20755, 804
8.20872, 804
8.20999, 804
8.21124, 804
8.21239, 804
8.21361, 804
8.21482, 804
8.21598, 804
8.2173, 804
8.2186, 804
8.21974, 804
8.22098, 804
8.22221, 803
8.22356, 803
8.2248, 803
8.22605, 803
8.22721, 803
8.22837, 803
8.22964, 803
8.23119, 803
8.23239, 803
8.23357, 803
8.23478, 803
8.23595, 803
8.23718, 803
8.23844, 803
8.23964, 803
8.24093, 803
8.24215, 803
8.24335, 803
8.24501, 803
8.24624, 803
8.24744, 803
8.24859, 803
8.24974, 803
8.25126, 803
8.25262, 803
8.25385, 803
8.2551, 803
8.25626, 803
8.25742, 806
8.25877, 806
8.25996, 806
8.26136, 806
8.26263, 806
8.26387, 806
8.26534, 806
8.26671, 806
8.26789, 806
8.26908, 806
8.27032, 806
8.27155, 806
8.27284, 806
8.27418, 805
8.27536, 805
8.27657, 805
8.2778, 805
8.27946, 805
8.28081, 805
8.2821, 805
8.2833, 805
8.28446, 805
8.28566, 805
8.2869, 805
8.28817, 805
8.28933, 805
8.29053, 805
8.2919, 802
8.29362, 802
8.29486, 802
8.29603, 802
8.29717, 802
8.29837, 802
8.29957, 802
8.3009, 802
8.30216, 802
8.30332, 802
8.30447, 802
8.30563, 802
8.30699, 802
8.30848, 802
8.30964, 803
8.31089, 803
8.31214, 803
8.31337, 803
8.31462, 803
8.3158, 803
8.31696, 803
8.31818, 803
8.31935, 803
8.32059, 803
8.32197, 803
8.32318, 803
8.32434, 803
8.32549, 803
8.32674, 802
8.3281, 802
8.32928, 802
8.33046, 802
8.3317, 802
8.33292, 802
8.33414, 802
8.33533, 802
8.33657, 802
8.33774, 802
8.339, 802
8.34021, 802
8.34161, 802
8.34285, 802
8.34407, 803
8.34524, 803
8.34644, 803
8.34772, 803
8.34913, 803
8.35043, 803
8.35165, 803
8.35282, 803
8.35407, 803
8.35564, 803
8.35691, 803
8.35815, 803
8.35951, 803
8.36068, 803
8.36202, 800
8.36345, 800
8.36463, 800
8.36578, 800
8.36703, 800
8.36822, 800
8.36956, 800
8.37085, 800
8.37204, 800
8.3732, 800
8.37448, 800
8.37565, 800
8.37687, 800
8.37806, 800
8.37921, 801
8.38039, 801
8.38163, 801
8.38307, 801
8.38428, 801
8.38543, 801
8.38669, 801
8.38786, 801
8.38902, 801
8.39036, 801
8.39159, 801
8.39273, 801
8.39397, 801
8.39514, 801
8.39638, 800
8.3977, 800
8.39894, 800
8.40018, 800
8.40145, 800
8.40269, 800
8.40405, 800
