FrameTime,FPS
0.0005422,1728
0.0005082,1728
0.0005179,1728
0.0005144,1728
0.0005063,1728
0.0005054,1728
0.0005214,1728
0.0005484,1728
0.0005066,1728
0.0005058,1728
0.0005091,1728
0.0005073,1728
0.000511,1728
0.0005232,1728
0.0005054,1728
0.0005322,1728
0.000509,1728
0.0005419,1728
0.0005129,1728
0.0005315,1728
0.0005265,1728
0.0005624,1728
0.0006135,1728
0.0005785,1728
0.000584,1728
0.0005636,1728
0.0005874,1728
0.0005602,1728
0.000597,1728
0.0005628,1724
0.0005504,1724
0.0005397,1724
0.0005865,1724
0.0005286,1724
0.0005078,1724
0.0005093,1724
0.0005043,1724
0.0005468,1724
0.0005124,1724
0.0005109,1724
0.0005068,1724
0.0005043,1724
0.0005114,1724
0.0005123,1724
0.0005183,1724
0.0007593,1724
0.00067,1724
0.0006177,1724
0.0005626,1724
0.0006582,1724
0.000611,1724
0.0006325,1724
0.0006551,1724
0.0005721,1724
0.0006204,1724
0.0005274,1724
0.0005123,1724
0.0006536,1724
0.0005458,1724
0.0005127,1726
0.0005062,1726
0.0005064,1726
0.0005083,1726
0.000512,1726
0.0005092,1726
0.0005318,1726
0.0005149,1726
0.0005653,1726
0.0005292,1726
0.0005156,1726
0.0005793,1726
0.0006724,1726
0.0006454,1726
0.0006539,1726
0.0006117,1726
0.0005345,1726
0.0005285,1726
0.000515,1726
0.0005112,1726
0.0006201,1726
0.000637,1726
0.0005383,1726
0.0005335,1726
0.000547,1726
0.0006341,1726
0.0005394,1726
0.0005985,1726
0.0005375,1726
0.0005125,1726
0.0005097,1726
0.0005422,1726
0.0005676,1726
0.0005529,1726
0.0005217,1726
0.0007362,1726
0.0006581,1726
0.0005914,1726
0.0005637,1726
0.0005831,1726
0.000571,1726
0.0007016,1726
0.0007256,1726
0.0005453,1726
0.0005148,1726
0.0005144,1726
0.0005064,1726
0.0005161,1726
0.0006026,1726
0.0005357,1726
0.0005181,1726
0.0005152,1726
0.0005201,1726
0.0005126,1726
0.000522,1726
0.0005135,1726
0.0006009,1726
0.0005239,1726
0.0005066,1726
0.0005134,1726
0.0005206,1740
0.0006427,1740
0.0005669,1740
0.0005505,1740
0.0005153,1740
0.0005133,1740
0.0005107,1740
0.0007059,1740
0.0005944,1740
0.0005173,1740
0.0005224,1740
0.0005078,1740
0.0006319,1740
0.0005443,1740
0.0005166,1740
0.0005073,1740
0.0005123,1740
0.0005051,1740
0.0005852,1740
0.0005556,1740
0.0005404,1740
0.0006158,1740
0.0005646,1740
0.0005223,1740
0.0005478,1740
0.0007247,1740
0.0006936,1740
0.0005784,1740
0.0005395,1740
0.0005505,1740
0.0005483,1743
0.0006112,1743
0.000683,1743
0.0006363,1743
0.000682,1743
0.0006989,1743
0.000722,1743
0.0007176,1743
0.000581,1743
0.0005367,1743
0.0005841,1743
0.000605,1743
0.0006756,1743
0.0006558,1743
0.0006415,1743
0.0006662,1743
0.0006111,1743
0.0006274,1743
0.0006076,1743
0.0005389,1743
0.0005556,1743
0.0005133,1743
0.0005855,1743
0.0005434,1743
0.0005721,1743
0.0005443,1743
0.000521,1743
0.000537,1743
0.0005391,1741
0.0005162,1741
0.0005296,1741
0.0005243,1741
0.0005092,1741
0.0005185,1741
0.0005086,1741
0.0005273,1741
0.0005142,1741
0.0005068,1741
0.0005153,1741
0.0005661,1741
0.0005371,1741
0.0005467,1741
0.0005136,1741
0.0005735,1741
0.0005216,1741
0.0005582,1741
0.0005616,1741
0.0005464,1741
0.0005127,1741
0.0005294,1741
0.000525,1741
0.0005174,1741
0.0005061,1741
0.0005395,1741
0.0005531,1741
0.0005138,1741
0.0005241,1741
0.000514,1741
0.0005526,1741
0.0005571,1741
0.0005304,1741
0.0005114,1741
0.0005062,1741
0.0005086,1741
0.0005123,1741
0.0006031,1741
0.0005488,1741
0.0005342,1741
0.0005082,1741
0.0005403,1741
0.0005163,1741
0.0005085,1741
0.0005127,1741
0.0005239,1741
0.0005161,1741
0.000507,1741
0.0005052,1741
0.0005046,1741
0.0005398,1741
0.000519,1741
0.0005245,1741
0.0005614,1741
0.0005199,1741
0.0005394,1741
0.0005834,1741
0.0005182,1741
